id,text,city,gender_id
269464387176243202,stuck off that skunk...,A,F
224655350224265216,"My Top 3 #lastfm Artists: Pg.99 (13), Failed Attempts at Facial Hair (12) & Brown Sugar (7) #last.fm http://t.co/2wAVcgAr",A,F
250782442498162688,Drunk as a skunk I h8 myself this is so 23 of me lol ?????,A,F
213219518561005568,Waiting for someone to publicly smack the smile off Jerry Sandusky's FACE ..his grin is vulgar,A,F
285272300067102720,"Gotti said Pull your hair, smack yo ass.! I betcha you like it like that..! Aight!",A,M
279126206509637632,I don't watch #WWHL often. This is the BEST episode I've seen. Ever. Aisha is drunk as a skunk! @BravoAndy,A,M
272866442549018625,“@T_Platt: @jweddo U know that lip smack we do when we being ratchet with our girls! She's on national television!! Smh!”/ughhh!,A,F
202919306378485763,Yo @Mizthabarber @horsemen215 WTF yo go down there and smack someone please I can't keep watching this trash lol...,A,F
209025698000674816,"@smithcommak idk, out does, and why do you gotta talk smack, that's not cool. Come on, there's no end to fight cause of a relationship.",A,F
204763260443045888,"#ZombieHappy stops to smack #ZombieShane's head, then gets to work in a mixing bowl with some capers, onions, eggs, spices and ground Elmo.",A,F
199505439338147840,@Grimgarry It should also give us more feathers for a pillow fight. We enjoy a good tar and feathering. Don't judge us.,A,F
198913468747874304,#ZombieHappy thinks it's great time and goes skipping right into the fracas. We lose sight of him through all the tar and feathers.,A,M
198205047534919681,"The canary comes in for another crawler, but this time #ZombieFred has the giant crawler rear up and smack it out of the sky.",A,M
195255110853591043,There goes that dad-blasted white rabbit again.  #ZombieFred tried to smack him with a dodo but missed.  This time we're playing for keeps.,A,M
179047019753635840,"@nzJayZee Very likely, we do prefer our lungs tar-free if possible. It makes our teeth look awful and that's one thing zombies can't stand.",A,F
270803306257993728,"@JenelleBOMBS look at how much weight she has lossed!Omg!N what is this ""tragic"" thing that happen? she can't eat? is heroin tragic now?lol",A,M
238221710019665921,"@Vkillemm oh no, Tori blocked me cuz I RT that she's ugly n she looked like she was on heroin! Whatever am I going 2do?!Tear* sniffle* haha!",A,M
156207693604990980,Wtf is on 'Pacpac' crew leader's mind?. .I would've smack the shit outta him seriously #AxMen,A,M
223495819125456896,#picstitch# so happy to have my sister back!!!!!!  @ White Horse Tavern http://t.co/XbQ0uGaQ,A,M
231420391971753985,Pussy so Good make you smack ya lips : P,A,F
249181949116170240,"Hey Hydros Bottle, what's with slacking on getting some accessories for these bottles. It's a real pain in the... http://t.co/IBdIs7gO",A,F
274581588916961280,Why dis tall bitch in my english class call my man's a dick head than my man's was like call me another dick head im smack you.........CTFUP,A,M
202461780788776960,steven just smack me in my face im mad #teamfollowback,A,M
202461450147602433,he said when he smack me ima be done haha love it he mad ass shxt rite now cuz im puttin this shxt on twitter.\n#teamfollowback,A,M
202460948458504192,this boy smack me its goin be on #teamfollowback,A,M
228985192591790080,"@YMHQ Check out our cupcakes inspired by YMCMB & Weezy!!  Hope you like the gold money bags, the sizzurp was our favorite besides Weezy!",A,M
276011710320627714,"Smack, smack that's what im giving out today",A,F
283360279667044352,"“@Santa_St_Claus: #AGhettoSantaWould only deliver Swisher Sweets, Purple Drank, and Jordans.” @babyhawk2013",A,F
276878125453959168,"@_JaviDay yoo papiii ! hmu brown sugar. Btw, I saw your best friend today. Kinda ironic right?",A,F
236186337290629120,Movein that china white and nigga wanna follow you,A,F
190961694686711809,"“@DrunkSocialite: Percocet martinis are the new ""killing two birds with one stone""”. LOL",A,M
177890007049187330,http://t.co/MxQ6Vazc Senate defeats efforts to negate EPA mercury toxic standard AND fast track tar sands pipeline importing more dirty oil.,A,M
177748415751524352,@SenToomey@DrMonaS Oil not sustainable. Natural gas better. Many Fortune 500 R moving to sustainability. US should too Oppose tar sands XL.,A,M
177747594515185665,@JimGerlach From @DrMonaS Many Fortune 500 working toward sustainability. So should U.S. Tar sands pipeline wrong direction. Dont support.,A,F
177747103152488448,@SenBobCasey from @DrMonaS  Fortune 500 companies R moving toward sustainability. So should U.S. Tar sands pipeline is the wrong direction.,A,F
202814438951231489,I just smack these hoes when they get outta line wit my shit. #DreadHeads,A,M
282575881170464768,This lil nigga in this hairdresser smacking on his food I'm about to smack him ????????????????,A,M
256891921488834560,I'm probably the only person in perkasie pa who hasn't been banned from getting Percocet at the local pharmacy.,A,M
203282989734567936,"sometimes i suck on menthol candies, smoke menthol cigarettes, and put vics vapor rub under ny nose.' - taylor",A,F
174640382007717889,@austinrivers25 and the blue devils should have an easy win tonight then it's the big game for the acc title vs the tar heels #dukenation,A,M
173529412216684545,Praying the tar heels lose,A,M
205403085856706560,Pineapple brown sugar bread pudding!!!!,A,M
275406603241537537,Mientras mi cuzzz @GenDelOrbeG y @knowledgesfm56  beben chiva yo con mis 2 Brugal blanco y más ajumao q ello http://t.co/9TdrHxEv,A,F
226860554990526464,@NeshSmilesAlot oh my god u not smart make me ride up there and smack ya lip,A,M
250967397643739137,I want some pussy so good that ill smack my lips ;) lol rs tho,A,M
224692064581980160,@amyfesta remind me to smack you around for your FB comment ????,A,F
243701335210471425,"“@PopWansel: I will smack every fucking body to Diana Ross's ""Touch Me In The Morning""....”<~~~AYE YOOOO! lol!!!",A,F
219603217200324610,"Why he ain't do ""brown sugar"" tho?!?",A,M
173061895027310593,[Mixtape] Codeine Overdose 12 -- Get It LIVE! http://t.co/f8lzsSbm @LiveMixtapes @DjEnvy,A,F
271804964333027328,What a great thanksgiving....watching rich old black people high on oxycotin l?mao,A,F
242815450495467521,Lmfao this nigga said smack raw u aint been to the clinic in a minute ctfu,A,F
181983517582966784,#lightskinjawn be thinkin they #theshit but they really are lol you just can't let them kno or u won't be able to smack boom really shit,A,F
195347982818885635,"(Rt of ever pop raw) now she want a photo, but she don't even no though, we only smack raw that's the motto FUCK a yolo",A,F
165636186411499521,"@AshyBlackKid: now she want a photo, but she don't even kno though, we only smack raw that's the motto FUCK a yolo"" - @Soloenote"" Lmao",A,M
259078098404904960,"Andy Reid's son died of ""accidental"" heroine overdoes he must have ""accidentally"" took more heroine then he thought he could handle lol",A,M
215862393165713408,#ReplaceAMovieTitleWithCoochie mighty morphin' power coochie: THE MOVIE,A,F
214896681542615045,Watching mighty morphin' power rangers #GoodOl'Days #IWishICouldMorph :'(,A,M
280091101027786752,“@businessinsider: The Independent's Incredible Front Page Honoring Victoria Soto 'The Heroine Of Sandy Hook http://t.co/58uFz4N1”   #hero,A,F
234268657105125378,You When I See Brittany Imma Just Smack The Shitt out of Her Str8,A,F
202719639053144064,Pussy taste so good make u smack ya lipps,A,M
231788044364165120,"Dear lady who interviews the swimmers at the Olympics, I want to smack you with your microphone. Thanks",A,F
205798014919520257,@Teeswagga10 lol SMACK DAT!!!,A,F
203971209321394176,"@DaNnI_deVitO smack it, flip it, rub it down!!!! Lol",A,F
217576764166246400,"THIS IS FREAKING AMAZING! Just 4 ingredients - chicken, garlic, brown sugar and oil - 3 WW points http://t.co/oh6EcXug",A,F
215943206792216576,"THIS IS FREAKING AMAZING! Just 4 ingredients - chicken, garlic, brown sugar and oil - 3 WW points http://t.co/YgPnO8Py",A,M
229283443647840256,Why would you let my hand go when your pulling them just to smack your self widd em lol,A,M
213203124570173442,I wanna smack this hoe up !,A,F
259361985274204161,"@cheaa_yaya you tell that bitch if she puts another needle in your arm, that ima smack her! and her face! pluse her dog!! :) wcd bookie butt",A,M
209087089671815169,I saw this man smack.out on his bike on.the deuce today,A,F
186191269310107648,IM smack right now off the pinnacle and loud,A,F
160935875046416385,i get money i get money ooooh im getting  paper i ain't playing i ain't playing i smack the shit out a hater,A,M
258992551946756096,Officials: Garrett Reid died of accidental heroin overdose.,A,M
223051310839234561,So doctors r giving kids oxycontin and guessing on the doses sounds safer than weed,A,F
272050263169302528,next time a DJ and or producer try to SELL me a beat then ask for a FREE song for his MIXTAPE ima smack em...what type ball u playn nigga,A,M
217353392484401152,I can't wait to Beiber gets arrested for blowing a dude to buy heroin. One time,A,M
213688792664637441,"When People Argue About Dum Shit, It Just Makes Me Wanna Smack The Shit Outta Them.",A,M
170517909033062400,"If a bitch comes up 2 me n say ""wanna smoke"" imma smack that bitch n beat her the fuck up.",A,F
163408051662110720,"Fuck drugs. Smoking weed, doing crack and herion doesn't kill u, it just fucks up ur body and ur life. Never in life will I try drugs. RS",A,F
215552187370176512,when i see ppl wearing hoodies and jeans in this kinda of weather i wanna smack the fuck out of them.. dumbfucks!,A,M
215197022733611008,"its official, skunk beer taste like cabbage ..",A,M
243086395592282112,"@MikeVick all honestly Mike, Lead us to a superbowl I cant stand all of these Giants fans talking all this smack let me get a RT",A,F
255880143422234625,Reef Men's Playa Negra Thong Sandal Reviews http://t.co/OkFZvu89,A,F
253965885767815168,@KingJames how do you feel in Philly there is a batch of heroin being sold called #LebronJames must be that #Juice2Stuff,A,F
157864255419457537,"SMH RT ""@AntxAmazing: Chick in the barbershop yesterday was eating cup-a-noodles w chopsticks... I wanted to smack em out her hand lol""",A,F
252471534134906880,@bobskunk MISTER SKUNK! Hello. *HUGS!*,A,F
223008529122996224,those bang too @Nannys_Boy 2nd fav after Brown Sugar.. “@JazZzierThanU Strawberry frosted pop tarts would be perfect””,A,M
241166748265639937,"“@espn: Fantasy football commissioners need a better way to smack talk. Now, they have one -> http://t.co/IRsextj5” //@Griffmando",A,F
265521686206623745,I got codeine in my cup. You bet your ass I'm sippin' ????? http://t.co/PgB2kkF,A,F
264853450679021568,One good thing about strep: liquid codeine ?????????????????????,A,F
249340606256668672,I have been neglecting my kitchen. Tonight orange and ginger glazed chicken with chili and brown sugar baked http://t.co/P5HjzJtZ,A,M
268459565736161280,"That thang was *smack, smack* finger licking' good! lol http://t.co/TjBgiKtI",A,F
